date,realized_pnl,hs_var99,hs_es975,param_var99,param_es975,mc_var99,mc_es975,mc_df
2016-12-13,599746.5105779258,1254272.3536203601,1354552.5337187548,1221775.421123919,1227935.3338610332,1268057.9488539966,1305875.6932134284,9.810566573575901
2016-12-14,-1094533.3339330454,1254272.3536203601,1354552.5337187548,1217291.620823742,1223420.5330496556,1348856.669901302,1336500.779418161,9.64205269753051
2016-12-15,91015.87139460495,1254272.3536203601,1354552.5337187548,1220817.3805661313,1226960.5221749756,1255286.6211946083,1256833.8545485442,9.65868469419337
2016-12-16,-137096.08218417742,1254272.3536203601,1354552.5337187548,1214737.9946669803,1220864.6904473936,1314977.96280989,1303800.598446353,9.450461744497755
2016-12-19,420759.47800095106,1254272.3536203601,1354552.5337187548,1214361.8581694874,1220470.187716841,1259007.0056373181,1310035.6263666048,9.286008201509487
2016-12-20,-9515.197923792319,1254272.3536203601,1354552.5337187548,1214593.0487681795,1220706.4319533575,1270906.8631854653,1329779.9007772233,9.339412621758095
2016-12-21,-21754.2934777921,1254272.3536203601,1354552.5337187548,1214950.4788395192,1221057.0763515525,1289083.8693331261,1323431.809274567,9.271116916488293
2016-12-22,-308925.3401599614,1254272.3536203601,1354552.5337187548,1215538.9622820877,1221644.8474476126,1282647.4274632856,1323438.5186659112,9.26707892984993
2016-12-23,213940.23973910804,1254272.3536203601,1354552.5337187548,1216589.4861427385,1222698.1905140688,1355755.427838036,1366390.2565495693,9.303356376942041
2016-12-27,227586.04902692256,1254272.3536203601,1354552.5337187548,1216587.1694932876,1222695.9274919487,1347482.1511276553,1356408.221165914,9.303929919587748
2016-12-28,-106501.47922731453,1254272.3536203601,1354552.5337187548,1208760.1682636382,1214848.479437014,1283020.7162193586,1307701.133874211,9.08874863876294
2016-12-29,412096.2205590195,1254272.3536203601,1354552.5337187548,1205344.398763669,1211422.9523232377,1237322.3176005653,1263557.0295176927,8.978643442552572
2016-12-30,-442515.24780028214,1254272.3536203601,1354552.5337187548,1196831.3034212862,1202890.5576707406,1331406.5463490346,1356771.452135789,8.801816359954813
2017-01-03,750033.8575762972,1254272.3536203601,1354552.5337187548,1200488.181015486,1206557.1309349672,1237329.9645469503,1279843.7188573799,8.908671560811662
2017-01-04,511129.95754011034,1254272.3536203601,1354552.5337187548,1200577.18685522,1206665.626451194,1281403.9572638052,1295179.4522642514,9.051197303870365
2017-01-05,816891.2642781712,1246655.9617520925,1313453.4646066935,1175875.6631007805,1181880.5643063362,1252772.6670615727,1252642.343555371,9.015622325188957
2017-01-06,-101485.0676022024,1246655.9617520925,1313453.4646066935,1172401.723922227,1178416.6096238785,1327465.3651673861,1342715.715010073,9.050557837297042
2017-01-09,280790.1619371564,1246655.9617520925,1313453.4646066935,1170500.515860644,1176510.371015762,1237494.4285864544,1273826.283143448,8.990128197366616
